Restaurant,Drink,Price
Khaluna,Old Fashioned,16
Khaluna,Silk Road Spiced Tonic,14
Khaluna,Balinese Fruited Tonic,14
Khaluna,Flora and Fauna,16
Khaluna,Worth the Squeeze,15
Khaluna,Sail Away,15
Khaluna,Brambles and Bridsongs,16
Khaluna,Counting the Ways,16
Khaluna,Out on a Limb,15
Arts & Rec,Heavy Hitter,14
Arts & Rec,Common Cause,14
Arts & Rec,Lucien,12
Arts & Rec,Bees Knees,14
Arts & Rec,Club House Cooler,12
Arts & Rec,Cran Collins,12
Arts & Rec,Border Battle,14
Arts & Rec,Red Headed Step Child,10
Arts & Rec,Minneapolis Mule,14
Arts & Rec,Sauana Society,13
Little Tijuana Neighborhood Lounge,Pina Colada,12
Little Tijuana Neighborhood Lounge,Monte Diet,11
Little Tijuana Neighborhood Lounge,3Leches Little T Tonic,10
Little Tijuana Neighborhood Lounge,Hongo Old Fashioned,12
Little Tijuana Neighborhood Lounge,Lil'Tea,12
Little Tijuana Neighborhood Lounge,Jay Bird,12
Little Tijuana Neighborhood Lounge,Espresso Negroni,11
Little Tijuana Neighborhood Lounge,Perfect Margarita,15
Little Tijuana Neighborhood Lounge,Golden Poppy Spitz,12
Little Tijuana Neighborhood Lounge,Sazerac Thing,10
Little Tijuana Neighborhood Lounge,Wet Martini,12
Bar Rufus,Airmail,15
Bar Rufus,Kir Royale,15
Bar Rufus,75,15
Bar Rufus,La Frenchie,15
Bar Rufus,Whiskey & Soda,15
Bar Rufus,Bonne Nuit,15
Bar Rufus,Musette's Negroni,15
Bar Rufus,Rufus Old Fashioned,15
Bar Rufus,The One Sip Martin,18
Billy After Dark,Keys to Paradise,14
Billy After Dark,Beyond the Horizon,14
Billy After Dark,At Your Window,14
Billy After Dark,Sign O' the Times,14
Billy After Dark,I Learn the Hard Way,14
Sanjusan,Evening Star,21
Sanjusan,Toma,16
Sanjusan,Hana Hachi,16
Sanjusan,Kita Highball,16
Sanjusan,Kishu,16
Sanjusan,Elena,16
Sanjusan,Sanjusan Old Fashioned,17
Earl Giles,Rabbit Kick,13
Earl Giles,Quincy Cosmo,12
Earl Giles,Pau Hana,13
Earl Giles,Livin,13
Earl Giles,Spicoli Cola,12
Earl Giles,Evergreen Collins,12
Earl Giles,Day Dreamin,12
Earl Giles,Mule,12
